ID,Date ,Database,Seizure Country,Seizure City,Origin Country1,Origin City1,Origin Country2,Origin City2,Origin Country3,Origin City3,Transit Country1,Transit City1,Transit Country2,Transit City2,Transit Country3,Transit City3,Transit Country4,Transit City4,Destination Country1,Destination City1,Destination Country2,Destination City2,Destination Country3,Destination City 3,Seizure Location,Year,Date ,Origin Country1,Origin City1,Origin Country2,Origin City2,Origin Country3,Origin City3,Transit Country1,Transit City1,Transit Country2,Transit City2,Transit Country3,Transit City3,Transit Country4,Transit City4,Destination Country1,Destination City1,Destination Country2,Destination City2,Destination Country3,Destination City 3,Seizure Country,Seizure City
50,10/2/2011,Birds,French Guiana,Cayenne,French Guiana,Cayenne,,,,,,,,,,,,,,,,,,,Origin City1,2011,2-Oct-11,French Guiana,Cayenne,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,French Guiana,Cayenne
51,11/1/2011,Birds,UAE,Dubai,,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2011,1-Nov-11,,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
52,11/21/2011,Birds,Kyrgyzstan,Bishkek,Kyrgyzstan,Bishkek,,,,,,,,,,,,,UAE,Dubai,,,,,Origin City1,2011,21-Nov-11,Kyrgyzstan,Bishkek,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Kyrgyzstan,Bishkek
53,12/1/2011,Birds,UAE,Dubai,,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2011,1-Dec-11,,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
54,12/8/2011,Birds,United Kingdom,Manchester,Pakistan,,,,,,,,,,,,,,United Kingdom,Manchester,,,,,Destination City1,2011,8-Dec-11,Pakistan,0,0,0,0,0,,0,0,0,0,0,0,0,United Kingdom,Manchester,SEIZURE,SEIZURE,SEIZURE,SEIZURE,United Kingdom,Manchester
55,12/13/2011,Birds,France,Paris,Mexico,,,,,,,,,,,,,,France,Paris,,,,,Destination City1,2011,13-Dec-11,Mexico,0,0,0,0,0,,0,0,0,0,0,0,0,France,Paris,SEIZURE,SEIZURE,SEIZURE,SEIZURE,France,Paris
56,1/1/2012,Birds,UAE,Abu Dhabi,Qatar,,,,,,,,,,,,,,UAE,Abu Dhabi,,,,,Destination City1,2012,1-Jan-12,Qatar,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Abu Dhabi,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Abu Dhabi
57,1/1/2012,Birds,UAE,Abu Dhabi,Qatar,,,,,,,,,,,,,,UAE,Abu Dhabi,,,,,Destination City1,2012,1-Jan-12,Qatar,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Abu Dhabi,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Abu Dhabi
58,1/15/2012,Birds,Mexico,Tijuana,,,,,,,,,,,,,,,Mexico,Tijuana,,,,,Destination City1,2012,15-Jan-12,,0,0,0,0,0,,0,0,0,0,0,0,0,Mexico,Tijuana,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Mexico,Tijuana
59,1/17/2012,Birds,Belgium,Brussels,Morocco,,,,,,,,,,,,,,Belgium,Brussels,,,,,Destination City1,2012,17-Jan-12,Morocco,0,0,0,0,0,,0,0,0,0,0,0,0,Belgium,Brussels,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Belgium,Brussels
60,1/23/2012,Birds,Spain,Santa Cruz de Tenerife,Spain,Santa Cruz de Tenerife,,,,,,,,,,,,,Spain,Madrid,,,,,Origin City1,2012,23-Jan-12,Spain,Santa Cruz de Tenerife,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Spain,Santa Cruz de Tenerife
61,2/28/2012,Birds,Malta,Luqa,Malta,Luqa,,,,,,,,,,,,,Libya,,,,,,Origin City1,2012,28-Feb-12,Malta,Luqa,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Malta,Luqa
62,2/28/2012,Birds,Belgium,Brussels,Belgium,Brussels,,,,,,,,,,,,,Morocco,,,,,,Origin City1,2012,28-Feb-12,Belgium,Brussels,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Belgium,Brussels
63,3/1/2012,Birds,Brazil,Belem,Brazil,Fortaleza,,,,,,,,,,,,,Brazil,Belem,,,,,Destination City1,2012,1-Mar-12,Brazil,Fortaleza,0,0,0,0,,0,0,0,0,0,0,0,Brazil,Belem,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Brazil,Belem
64,3/22/2012,Birds,Taiwan,Taoyuan City,Vietnam,,,,,,,,,,,,,,Taiwan,Taoyuan City,,,,,Destination City1,2012,22-Mar-12,Vietnam,0,0,0,0,0,,0,0,0,0,0,0,0,Taiwan,Taoyuan City,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Taiwan,Taoyuan City
65,4/7/2012,Birds,Guyana,Georgetown,Guyana,Georgetown,,,,,,,,,,,,,,,,,,,Origin City1,2012,7-Apr-12,Guyana,Georgetown,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,SEIZURE,Guyana,Georgetown
66,5/1/2012,Birds,UAE,Dubai,Russia,,,,,,,,,,,,,,UAE,Dubai,,,,,Destination City1,2012,1-May-12,Russia,0,0,0,0,0,,0,0,0,0,0,0,0,UAE,Dubai,SEIZURE,SEIZURE,SEIZURE,SEIZURE,UAE,Dubai
